Year,Observations
1956,8
1957,11
1958,11
1959,12
1960,14
1961,15
1962,19
1963,22
1964,22
1965,24
1966,27
1967,30
1968,32
1969,32
1970,33
1971,33
1972,33
1973,33
1974,33
1975,34
1976,36
1977,36
1978,36
1979,36
1980,36
1981,35
1982,37
1983,38
1984,41
1985,41
1986,41
1987,41
1988,41
1989,41
1990,41
1991,41
1992,40
1993,41
1994,41
1995,41
1996,41
1997,41
1998,40
1999,40
2000,40
2001,40
2002,40
2003,40
2004,39
2005,41
2006,41
2007,40
2008,41
2009,41
2010,41
2011,41
2012,41
2013,39
2014,37
2015,40
2016,41
2017,41
2018,39
2019,27
