state,states,sum
ca,AL,502
ca,AK,242
ca,AZ,2011
ca,AR,469
il,CA,7285
in,CO,1165
la,CT,725
ny,DE,136
oh,FL,3296
or,GA,1031
tx,HI,220
tx,ID,432
az,IL,2065
ca,IN,1058
ca,IA,558
ca,KS,495
ca,KY,685
ca,LA,437
ca,ME,439
ca,MD,686
ca,MA,1024
ca,MI,1413
ca,MN,839
ca,MS,278
ca,MO,1145
ca,MT,382
ca,NE,311
fl,NV,629
wa,NH,403
ca,NJ,1005
nv,NM,585
oh,NY,2319
tn,NC,1470
az,ND,91
il,OH,1790
mo,OK,596
pa,OR,1401
tx,PA,1931
ca,RI,188
ga,SC,892
il,SD,144
il,TN,915
il,TX,2755
ma,UT,503
mo,VT,234
mo,VA,1052
mo,WA,3102
pa,WV,356
ca,WI,983
ga,WY,135
ks,,
pa,,
wa,,
al,,
ca,,
ca,,
il,,
mi,,
nv,,
wa,,
fl,,
fl,,
tn,,
ca,,
co,,
ga,,
me,,
ca,,
ok,,
pa,,
tn,,
tn,,
tx,,
ca,,
co,,
il,,
ks,,
ca,,
wa,,
az,,
fl,,
ky,,
ky,,
tx,,
wa,,
ct,,
fl,,
la,,
me,,
mi,,
mi,,
mo,,
nd,,
tx,,
tx,,
tx,,
wv,,
ca,,
ga,,
md,,
mn,,
tn,,
ca,,
ca,,
ky,,
mt,,
pa,,
pa,,
ak,,
ca,,
ca,,
ca,,
ca,,
ca,,
ca,,
ky,,
nv,,
or,,
tx,,
fl,,
tx,,
ca,,
fl,,
fl,,
fl,,
fl,,
md,,
ne,,
oh,,
tn,,
tx,,
tx,,
ut,,
wi,,
wv,,
il,,
mt,,
az,,
ca,,
ca,,
ca,,
ca,,
nm,,
ca,,
wa,,
ca,,
fl,,
ia,,
ne,,
wa,,
ca,,
in,,
wa,,
az,,
ca,,
ca,,
or,,
or,,
or,,
wa,,
ca,,
pa,,
ca,,
fl,,
al,,
az,,
mn,,
ny,,
or,,
tx,,
az,,
az,,
co,,
ny,,
wa,,
wa,,
wa,,
wa,,
wa,,
wa,,
ca,,
fl,,
sc,,
sc,,
wa,,
az,,
az,,
az,,
in,,
nc,,
tx,,
tx,,
wa,,
ca,,
nv,,
wi,,
wv,,
az,,
az,,
fl,,
il,,
mi,,
az,,
ca,,
ca,,
ca,,
ct,,
fl,,
ma,,
tx,,
wa,,
az,,
az,,
ca,,
mo,,
mo,,
ny,,
tx,,
vt,,
wa,,
wa,,
wa,,
wa,,
fl,,
wa,,
az,,
il,,
il,,
il,,
tx,,
fl,,
il,,
id,,
or,,
ar,,
mi,,
ar,,
az,,
ct,,
hi,,
mn,,
nc,,
oh,,
or,,
az,,
ca,,
ga,,
ia,,
il,,
il,,
il,,
il,,
il,,
il,,
il,,
il,,
il,,
il,,
in,,
tx,,
wa,,
il,,
nj,,
wa,,
wi,,
ar,,
az,,
ca,,
fl,,
ca,,
co,,
fl,,
oh,,
tx,,
wa,,
wa,,
wa,,
fl,,
oh,,
or,,
wi,,
ca,,
ca,,
il,,
ms,,
or,,
or,,
az,,
az,,
az,,
ut,,
ak,,
