lon,lat,date
-74.0063889,40.7141667,1/1/2000
-118.2427778,34.0522222,1/1/2000
-117.1563889,32.7152778,1/1/2000
-83.7597222,40.3611111,1/1/2000
-119.7019444,36.8252778,1/1/2000
-87.9019444,42.3702778,1/1/2000
-122.4183333,37.775,1/1/2000
-122.8744444,42.3266667,1/1/2000
-95.3630556,29.7630556,1/1/2000
-89.0952778,38.7552778,1/1/2000
-95.3630556,29.7630556,1/1/2000
-87.5558333,37.9747222,1/1/2000
-92.0358333,29.9580556,1/1/2000
-81.6558333,30.3319444,1/2/2000
-111.8219444,33.4222222,1/2/2000
-117.2130556,33.5538889,1/2/2000
-119.1361111,46.2113889,1/2/2000
-121.5552778,39.5138889,1/2/2000
-118.3955556,34.1486111,1/2/2000
-117.7763889,33.8444444,1/2/2000
-117.1816667,34.0555556,1/2/2000
-117.1475,33.4936111,1/2/2000
-116.9105556,34.2438889,1/2/2000
-116.3091667,33.6633333,1/2/2000
-119.555,36.7080556,1/2/2000
-117.7188889,34.0966667,1/2/2000
-117.2416667,33.2,1/2/2000
-118.0519444,34.1616667,1/2/2000
-117.8252778,33.7458333,1/2/2000
-118.1494444,34.1161111,1/2/2000
-115.5622222,32.7919444,1/3/2000
-89.0569444,36.4241667,1/3/2000
-83.6094444,38.6880556,1/3/2000
-119.8127778,39.5297222,1/3/2000
-91.0083333,38.45,1/4/2000
-75.7388889,41.3438889,1/4/2000
-111.8983333,33.5091667,1/4/2000
-99.4261111,31.8272222,1/4/2000
-90.2102778,38.5161111,1/4/2000
-90.3225,38.7891667,1/5/2000
-90.3225,38.7891667,1/5/2000
-90.0255556,38.6366667,1/5/2000
-89.9530556,38.8113889,1/5/2000
-90.1977778,38.6272222,1/5/2000
-71.0666667,42.2494444,1/5/2000
-75.6211111,40.0288889,1/5/2000
-83.4722222,32.2836111,1/5/2000
-116.8672222,33.0416667,1/5/2000
-88.1988889,42.3286111,1/5/2000
-117.425,47.6588889,1/12/2100
-76.7280556,39.9625,1/6/2000
-122.4183333,37.775,1/6/2000
-96.8305556,39.2988889,1/6/2000
-84.6344444,33.8125,1/6/2000
-122.2925,47.2502778,1/7/2000
-90.5786111,41.5094444,1/7/2000
-115.1363889,36.175,1/7/2000
-121.28,38.7072222,1/7/2000
-85.6325,41.9438889,1/7/2000
-121.0047222,40.3061111,1/7/2000
-86.3,32.3666667,1/7/2000
-83.9208333,35.9605556,1/8/2000
-81.3633333,28.6275,1/8/2000
-81.3633333,28.6275,1/8/2000
-118.2427778,34.0522222,1/9/2000
-81.3916667,32.3361111,1/9/2000
-108.55,39.0638889,1/9/2000
-70.7747222,43.4391667,1/9/2000
-86.7827778,36.0330556,1/10/2000
-96.3541667,36.1333333,1/10/2000
-83.5619444,35.8680556,1/10/2000
-95.4558333,30.3116667,1/10/2000
-117.1563889,32.7152778,1/10/2000
-80.0852778,42.1291667,1/10/2000
-87.8819444,41.8505556,1/11/2000
-99.7458333,38.6402778,1/11/2000
-104.9841667,39.7391667,1/11/2000
-117.1563889,32.7152778,1/11/2000
-118.2427778,34.0522222,1/12/2000
-122.0969444,47.9130556,1/12/2000
-81.6558333,30.3319444,1/13/2000
-112.0733333,33.4483333,1/13/2000
-85.7594444,38.2541667,1/13/2000
-122.3327778,48.4213889,1/14/2000
-95.3630556,29.7630556,1/14/2000
-85.7594444,38.2541667,1/14/2000
-73.2077778,41.3325,1/15/2000
-94.7402778,32.5005556,1/15/2000
-90.1977778,38.6272222,1/15/2000
-82.0316667,29.7858333,1/15/2000
-69.7197222,44.765,1/15/2000
-95.3630556,29.7630556,1/15/2000
-93.2172222,30.2263889,1/15/2000
-95.1144444,29.7758333,1/15/2000
-82.1325,38.4344444,1/15/2000
-96.7894444,46.8772222,1/15/2000
-85.5872222,42.2916667,1/15/2000
-84.7647222,44.3147222,1/15/2000
-86.3994444,35.71,1/16/2000
-93.8766667,45.3933333,1/16/2000
-121.7394444,38.545,1/16/2000
-77.7202778,39.6416667,1/16/2000
-82.3219444,32.2041667,1/16/2000
-85.3063889,37.1027778,1/17/2000
-75.1641667,39.9522222,1/17/2000
-121.5552778,39.5138889,1/17/2000
-111.5513889,45.8925,1/17/2000
-122.1952778,39.7475,1/17/2000
-79.9961111,40.4405556,1/17/2000
-85.3063889,37.1027778,2/5/2100
-119.4686111,35.4005556,1/18/2000
-100.3172222,32.0866667,1/18/2000
-134.4197222,58.3019444,1/18/2000
-124.2005556,41.7561111,1/18/2000
-121.9736111,37.2266667,1/18/2000
-114.8877778,39.2475,1/18/2000
-121.8736111,37.6625,1/18/2000
-118.4480556,34.1866667,1/18/2000
-118.2427778,34.0522222,1/18/2000
-122.7725,45.3,1/18/2000
-80.0572222,26.6155556,1/19/2000
-95.2438889,29.4236111,1/19/2000
-81.1575,39.2086111,1/20/2000
-111.8902778,40.7608333,1/20/2000
-89.0238889,45.2080556,1/20/2000
-82.9988889,39.9611111,1/20/2000
-118.2616667,33.78,1/20/2000
-82.575,27.4986111,1/20/2000
-82.575,27.4986111,1/20/2000
-97.3680556,41.4297222,1/20/2000
-95.3630556,29.7630556,1/20/2000
-95.3630556,29.7630556,1/20/2000
-90.0488889,35.1494444,1/20/2000
-80.2783333,25.8572222,1/20/2000
-76.2336111,39.4688889,1/20/2000
-80.2241667,26.0027778,1/20/2000
-114.3366667,48.4111111,1/21/2000
-87.8002778,42.1816667,1/21/2000
-113.9527778,32.6975,1/22/2000
-117.1563889,32.7152778,1/22/2000
-122.6355556,38.2325,1/23/2000
-106.6638889,35.2333333,1/23/2000
-117.8894444,34.09,1/23/2000
-117.4341667,34.0922222,1/23/2000
-118.9711111,37.6486111,1/24/2000
-121.6958333,47.8569444,1/25/2000
-92.3736111,41.0041667,1/26/2000
-118.0058333,33.7591667,1/26/2000
-122.3308333,47.6063889,1/26/2000
